,time1,CH1,CH2,CH3,CH23,time_step,time_delay,I_base,I_step
210,424.00000000000006,-12.287500000000001,2.245,1.75,0.495,2.0,1000.0,1.0,90.0
211,426.0,-12.487500000000002,2.33,1.8325,0.497499999999999,2.0,1000.0,1.0,90.0
212,428.0,-12.53,2.485,2.02,0.464999999999999,2.0,1000.0,1.0,90.0
213,430.0,-12.552500000000002,2.3499999999999996,1.8425,0.507499999999999,2.0,1000.0,1.0,90.0
214,432.0,-12.445000000000002,2.3200000000000003,1.8225,0.49750000000000005,2.0,1000.0,1.0,90.0
215,434.00000000000006,-12.545000000000002,2.3275,1.8125,0.514999999999999,2.0,1000.0,1.0,90.0
216,436.0,-12.757500000000002,2.4475,1.9525000000000001,0.494999999999999,2.0,1000.0,1.0,90.0
217,438.0,-12.9025,2.44,1.9525000000000001,0.487499999999999,2.0,1000.0,1.0,90.0
218,440.0,-12.337499999999999,2.315,1.8275,0.487499999999999,2.0,1000.0,1.0,90.0
219,442.0,-12.58,2.3649999999999998,1.8825,0.48250000000000004,2.0,1000.0,1.0,90.0
220,444.00000000000006,-12.729999999999999,2.3449999999999998,1.8425,0.502499999999999,2.0,1000.0,1.0,90.0
221,446.0,-12.5,2.415,1.9100000000000001,0.504999999999999,2.0,1000.0,1.0,90.0
222,448.0,-12.627500000000005,2.4225,1.9525000000000001,0.46999999999999903,2.0,1000.0,1.0,90.0
223,450.0,-12.545000000000002,2.339999999999999,1.8375,0.502499999999999,2.0,1000.0,1.0,90.0
224,452.0,-12.515,2.3449999999999998,1.8575,0.487499999999999,2.0,1000.0,1.0,90.0
225,454.00000000000006,-12.4775,2.385,1.895,0.489999999999999,2.0,1000.0,1.0,90.0
226,456.0,-12.325,2.299999999999999,1.795,0.504999999999999,2.0,1000.0,1.0,90.0
227,458.0,-12.342500000000003,2.1574999999999998,1.6525,0.504999999999999,2.0,1000.0,1.0,90.0
228,460.0,-12.4075,2.3449999999999998,1.8625,0.482499999999999,2.0,1000.0,1.0,90.0
229,462.0,-12.575000000000001,2.3674999999999997,1.8599999999999999,0.507499999999999,2.0,1000.0,1.0,90.0
230,464.00000000000006,-12.582500000000001,2.3674999999999997,1.88,0.48750000000000004,2.0,1000.0,1.0,90.0
231,466.0,-12.7025,2.3874999999999997,1.8725,0.514999999999999,2.0,1000.0,1.0,90.0
232,468.0,-12.264999999999999,2.2675,1.7674999999999998,0.499999999999999,2.0,1000.0,1.0,90.0
233,470.0,-12.379999999999999,2.3425000000000002,1.845,0.49750000000000005,2.0,1000.0,1.0,90.0
234,472.0,-12.5625,2.3874999999999997,1.895,0.49250000000000005,2.0,1000.0,1.0,90.0
235,474.00000000000006,-12.432500000000001,2.3275,1.8399999999999999,0.487499999999999,2.0,1000.0,1.0,90.0
236,476.0,-12.317499999999999,2.339999999999999,1.8525,0.487499999999999,2.0,1000.0,1.0,90.0
237,478.0,-12.482500000000002,2.41,1.9175,0.49250000000000005,2.0,1000.0,1.0,90.0
238,480.0,-12.315000000000005,2.3425000000000002,1.83,0.5125,2.0,1000.0,1.0,90.0
239,482.0,-12.300000000000002,2.3575,1.8625,0.494999999999999,2.0,1000.0,1.0,90.0
240,484.00000000000006,-12.4475,2.3499999999999996,1.8675,0.48250000000000004,2.0,1000.0,1.0,90.0
241,486.0,-12.147500000000003,2.195,1.685,0.51,2.0,1000.0,1.0,90.0
242,488.0,-12.535,2.42,1.9125,0.507499999999999,2.0,1000.0,1.0,90.0
243,490.0,-12.6175,2.3525,1.8275,0.524999999999999,2.0,1000.0,1.0,90.0
244,492.0,-12.372500000000002,2.295,1.7999999999999998,0.494999999999999,2.0,1000.0,1.0,90.0
245,494.00000000000006,-12.495000000000005,2.2875,1.7799999999999998,0.507499999999999,2.0,1000.0,1.0,90.0
246,496.0,-12.509999999999998,2.3874999999999997,1.885,0.5025000000000001,2.0,1000.0,1.0,90.0
247,498.0,-12.4075,2.259999999999999,1.75,0.509999999999999,2.0,1000.0,1.0,90.0
248,500.0,-12.392500000000002,2.33,1.8199999999999998,0.509999999999999,2.0,1000.0,1.0,90.0
249,502.0,-12.290000000000001,2.3375000000000004,1.83,0.507499999999999,2.0,1000.0,1.0,90.0
250,504.00000000000006,-11.952499999999999,2.265,1.7674999999999998,0.49750000000000005,2.0,1000.0,1.0,90.0
251,506.0,-12.385000000000002,2.3825,1.8925,0.49,2.0,1000.0,1.0,90.0
252,508.0,-12.42,2.3925,1.885,0.5075000000000001,2.0,1000.0,1.0,90.0
253,510.0,-12.5675,2.27,1.7774999999999999,0.492499999999999,2.0,1000.0,1.0,90.0
254,512.0,-12.287500000000001,2.275,1.7799999999999998,0.494999999999999,2.0,1000.0,1.0,90.0
255,514.0,-12.480000000000002,2.3325,1.835,0.49750000000000005,2.0,1000.0,1.0,90.0
256,516.0,-12.2,2.2775,1.775,0.5025000000000001,2.0,1000.0,1.0,90.0
257,518.0,-12.23,2.3525,1.8625,0.489999999999999,2.0,1000.0,1.0,90.0
258,520.0,-12.100000000000001,2.3075,1.8175,0.49,2.0,1000.0,1.0,90.0
259,522.0,-12.395,2.33,1.8525,0.477499999999999,2.0,1000.0,1.0,90.0
260,524.0,-12.237499999999999,2.3525,1.8625,0.489999999999999,2.0,1000.0,1.0,90.0
261,526.0,-11.92,2.245,1.755,0.49,2.0,1000.0,1.0,90.0
262,528.0,-12.632500000000002,2.3775,1.8825,0.494999999999999,2.0,1000.0,1.0,90.0
263,530.0,-13.342500000000001,3.12,2.665,0.45499999999999996,2.0,1000.0,1.0,90.0
264,532.0,-11.987500000000002,2.355,1.88,0.475,2.0,1000.0,1.0,90.0
265,534.0,-12.385000000000002,2.3825,1.8825,0.5,2.0,1000.0,1.0,90.0
266,536.0,-12.337499999999999,2.4325,1.9575,0.475,2.0,1000.0,1.0,90.0
267,538.0,-11.8025,2.2725,1.77,0.502499999999999,2.0,1000.0,1.0,90.0
